TRANSACTION_ID,TRANSACTION_LINE_ID,LINE_KEY,CLIENT_NAME,CLIENT_GROUP,ASSET_REFERENCE_ID,ASSET_NAME,ASSET_CATEGORY,ASSET_FAMILY,ASSET_SUBFAMILY,ASSET_UNIT_WEIGHT_KG,ASSET_DESCRIPTION,BATCH_SIZE,ASSET_SUPPLIERS,ASSET_SUPPLIERS_COUNT,YEAR
39254,1,2900_1648811122018_83434,The Body Shop International Limited,Group - The Body Shop,6265,101.260,Packaging,Secondary,Boxes / Paper Bags - Non-Foldable Box,0.308,"GC BOX ROUTINE ENERGISING XM22 A0X

Case: 140gsm woodfree paper + 1.5mm greyboard +Jute Ribbon
Base: 120gsm kraft paper + 1.5mm greyboard 
Fitment: 250gsm CCNB + corrguated board + 1.5mm greyboard 
(FSC MIX CREDIT)",3904,"[""WING FAIT BNG (CHINA) PRINTING LIMITED""]",1,2022
22863,1,3554_1641892983028_18881,Société FIB NC7,Group - Camaieu,5109,100.287,Hair Accessories,Hair Accessories,Claw Clips,0.02114808215425311,APINCEGOLD,2300,"[""Chic Accessories Factory""]",1,2022
71247,31,3554_1666860532550_59794,NWBEEZ ltd,Group - Sergent Major,9314,103.401,Hair Accessories,Hair Accessories,Hairbands,0.028909611883482296,"RYAJOSERR2
Hair clip with 7.5%rebate",285,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Chic Accessories Factory""]",2,2022
70357,1,3006_1666343432105_47820,JACADI,Group - Jacadi,9018,103.205,Hair Accessories,Hair Accessories,Elastics,0.014447636611787983,1elastic in one set,312,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd.""]",2,2022
51524,1,2870_1655864267139_73684,Société FIB NC7,Group - Camaieu,7816,102.411,Fashion Accessories,Small Accessories,Belt,0.08682848004669858,ABELTRESSE ceinture tressée irisée,500,"[""DONGGUAN SHUNQI HANDBAGS INDUSTRIES CO.LTD""]",1,2022
64080,11,3554_1662706360985_32263,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,8727,102.915,Hair Accessories,Hair Accessories,Scrunchies,0.013539946820307042,"ZN295 / ICLS23CHMIX
with 7.5%rebate",2152,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
30292,5,3554_1645006406821_63393,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5545,100.692,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,XL875 / ADCW20PSTA9,5737,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
45430,5,3554_1652865970051_72460,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5545,100.692,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,XL875 / ADCW20PSTA9,4366,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
65415,1,2870_1663677698616_91980,Avon Cosmetics Inc.,Group - Avon,8520,102.710,Bags,Bags Fashion,Crossbody - Bags Fashion,0.13254166666666667,MYCA CROSSBODY BAG,5812,"[""Dongguan Haiyang Handbag Co.,Ltd""]",1,2022
32819,4,3554_1646042313038_58641,GEMO,Group - Gemo,5586,100.733,Hair Accessories,Hair Accessories,Elastics,0.01285589635645807,Elastic 2pcs in set,3504,"[""Chic Accessories Factory""]",1,2022
28975,4,2881_1644398906782_59416,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,5650,CUCAPAGE _CAP,Textiles,Textile Accessories,Cut & Sew Hat / Cap,0.04690452594095726,22E4PGP1CHA,1708,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""ZHENJIANG S&C HEADGEAR CO.,LTD""]",2,2022
31518,7,3554_1645170977786_40819,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5898,100.930,Hair Accessories,Hair Accessories,Hair Sets,0.01001931364112478,YW485 / ACCS22CLBRO,296,"[""Chic Accessories Factory"",""Dongguan Xingyi Printing Co., Ltd."",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",3,2022
29433,2,4484_1644477919716_35812,Mary Kay Inc.,Group - Mary Kay,5677,100.815,Beauty Accessories,Face,Make-up Brushes,0.005,"10122329 BRUSH-CREAM COLOR 
169x7.5mm",36000,"[""Shenzhen Karina Makeup Tools Ltd""]",1,2022
33599,1,3180_1646383588162_38396,Avon Cosmetics Ltd,Group - Avon,4714,100.096,Home Fragrance,Oil,Essential Oils,0.0475,White Jasmine Fragrance Oil,5076,"[""Ramesh Flowers Private Limited""]",1,2022
70581,13,3554_1666604454892_36985,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,8986,103.173,Hair Accessories,Hair Accessories,Claw Clips,0.02114808215425311,XL812 / ADLW201CRAB,162,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
48372,26,3554_1654590058432_3030,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,7691,102.286,Hair Accessories,Hair Accessories,Scrunchies,0.013539946820307042,ZG499 / ICCW22CHLIB-VERT JUNE,2680,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
45998,1,2870_1653364989655_81805,Oriflame Cosmetics Global S.A.,Group - Oriflame,6236,101.231,Bags,Bags Fashion,Tote - Bags Fashion,0.55,"Curated Handbag with  Printing label
with matte lamination( FSC MIX CREDIT)",5005,"[""DONGGUAN JINGWEI IMPORT AND EXPORT CO.,LTD."",""WFL Printing Limited""]",2,2022
41929,1,3554_1650532045247_26525,LA GENERALE POUR L ENFANT MAJOR,Group - Sergent Major,7096,101.891,Hair Accessories,Hair Accessories,Clic Clac & Bobby Pin's,0.012273382524837033,DABARETTE,7554,"[""Chic Accessories Factory""]",1,2022
33231,19,2881_1646202446006_29661,NEWORCH,Group - Orchestra,6044,101.041,Textiles,Textile Accessories,Knitted Hats,0.05870387871226292,MENCLINBIS-AX CAP,796,"[""JIANGSU FSD KNITTING CO.,LTD"",""Dongguan Xingyi Printing Co., Ltd.""]",2,2022
29939,6,3554_1644911428296_45034,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5560,100.707,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,XL787 / ADLW20TORTL,305,"[""Chic Accessories Factory"",""New ChaoQi Hair Accessories Co.LTD.DongGuan""]",2,2022
51524,2,2870_1655864267139_79282,Société FIB NC7,Group - Camaieu,7817,102.412,Fashion Accessories,Small Accessories,Belt,0.08682848004669858,ABELTRESSE ceinture tressée irisée,500,"[""DONGGUAN SHUNQI HANDBAGS INDUSTRIES CO.LTD""]",1,2022
39368,1,3554_1648872015287_82077,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5564,100.711,Hair Accessories,Hair Accessories,Elastics,0.012855896356458072,XM727 / ADCW20ETRE9,10016,"[""New ChaoQi Hair Accessories Co.LTD.DongGuan"",""Chic Accessories Factory"",""YIWU HANJI KNITTED GOODS FACTORY""]",3,2022
61976,1,3006_1661486757576_49779,FAST ASIA SUPPLIERS TAPE A L'OEIL LTD,Group - TAO,8599,102.787,Hair Accessories,Hair Accessories,Elastics,0.019799999999999998,3elastics in one set,2500,"[""Kunshan ZhouZhuang fengda garment accessories factory"",""Li Fu Enterprises Corp.""]",2,2022
23418,2,3173_1642046020219_61501,INTERNATIONAL TRADING FASHION & APPAREL SUPPLY LTD.,Group - Kiabi,5187,100.358,Fashion Accessories,Eyewear,Sunglasses,0.029146240831996253,SUNGLASS,1621,"[""Wenzhou Dongtian Glasses Manufacture Co.,Ltd""]",1,2022
21753,1,2900_1640937288306_3227,Rituals Cosmetic Trade B.V.,Group - Rituals,4400,1110087	Ribbon + booklet Small Sakura 2021,Packaging,Secondary,Accessories - Ribbons / Cords / Elastics,0.008380952380952381,"Ribbon + booklet Small Sakura 2021

Ribbon: 100% polyester 39mm GG Ribbon in 277mm L(folded in half) + 2mm Dia. elastic band in 57mm L(folded in half)+2mm Dia. Gold elastic String in 150mm loop length
Small Paper Tag: 360gsm Coated paper
(FSC MIX CREDIT)",306600,"[""YangZhou Bestpak Gifts & Crafts Co., Ltd."",""WING FAIT BNG (CHINA) PRINTING LIMITED""]",2,2022
