FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-05-14T00:00:00Z,4958,CF-HK-23050185,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1675930041044_76316,9598,4958,7780,320,6.56,2099.2,64,44,15,0.0422,13.5168,8000,Sea,11705,2023
2023-05-14T00:00:00Z,4960,CF-HK-23050187,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1674730665401_55806,9606,4960,9788,50,13.65,682.5,50,38,35,0.0665,3.325,400,Sea,11705,2023
2023-05-14T00:00:00Z,4960,CF-HK-23050187,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1674730665401_37034,9605,4960,8469,4,12.14,48.56,68,44,32,0.0957,0.382976,400,Sea,11705,2023
2023-05-14T00:00:00Z,4960,CF-HK-23050187,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1674730665401_16474,9604,4960,8220,16,10.28,164.48,64,64,15,0.0614,0.98304,400,Sea,11705,2023
2023-05-14T00:00:00Z,4960,CF-HK-23050187,Sea,DDP,"Nhava Sheva, India","Rotterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,IRIS HOME EXPORTS PVT LTD,35897_1674730665401_22891,9603,4960,7621,160,7.87,1259.2,78,34,62,0.1644,26.30784,1600,Sea,11705,2023
2023-05-29T00:00:00Z,4972,CF-HK-23050199,Air,DDP,"Delhi, India","Amsterdam, Netherlands",India,Netherlands,Rituals Cosmetic Trade B.V.,NCCR EXPORTS,35897_1678873319758_6700,9638,4972,7619,48,8.396,403.00800000000004,46,32,32,0.0471,2.260992,2016,Air,null,2023
2023-05-24T00:00:00Z,4974,CF-HK-23050201,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1679451464446_50831,9640,4974,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-05-24T00:00:00Z,4976,CF-HK-23050203,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1679453626338_19868,9642,4976,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-05-24T00:00:00Z,4980,CF-HK-23050207,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1679455228802_45458,9646,4980,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-05-30T00:00:00Z,4982,CF-HK-23050209,Sea,DDP,"Yantian, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,Guangdong ShengYiLong House Product Technology Limited,4804_1669777495109_58049,9650,4982,9342,167,2.5,417.5,33,14,20,0.0092,1.54308,2004,Sea,18207,2023
